scenario,n,trial,rank,lambda_min_information,parameter_covered,aligned_sum_width,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
null,8,179,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,180,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,181,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,182,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,183,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,184,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,185,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,186,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,187,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,188,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,189,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,190,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,191,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,192,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,193,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,194,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,195,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,196,1,0.0,0,0.20788557365245164,0,-0.9979098243002418,0.9979098243002418,1.9958196486004836,1,0,0,0
null,8,197,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,198,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,199,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,200,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,201,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,202,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,203,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,204,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,205,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,206,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,207,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,208,1,0.0,1,0.20788557365245142,0,-1.0,1.0,2.0,1,0,0,0
null,8,209,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,210,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,211,1,0.0,0,0.20788557365245164,0,-0.9935337073404541,0.9935337073404541,1.9870674146809082,1,0,0,0
null,8,212,1,0.0,1,0.20788557365245142,0,-1.0,1.0,2.0,1,0,0,0
null,8,213,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,214,1,0.0,0,0.20788557365245164,0,-0.9894947264106821,0.9894947264106821,1.9789894528213643,1,0,0,0
null,8,215,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,216,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,217,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,218,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,219,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,220,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,221,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,222,1,0.0,0,0.2078855736524518,0,-0.9142868502393204,0.9142868502393204,1.8285737004786409,1,0,0,0
null,8,223,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,224,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,225,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,226,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,227,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,228,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,229,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,230,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,231,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,232,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,233,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,234,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,235,1,0.0,0,0.20788557365245164,0,-0.9827856047899058,0.9827856047899058,1.9655712095798117,1,0,0,0
null,8,236,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,237,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,238,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,239,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,240,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,241,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,242,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,243,1,0.0,0,0.20788557365245158,0,-0.9649691542182232,0.9649691542182232,1.9299383084364463,1,0,0,0
null,8,244,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,245,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,246,1,0.0,0,0.20788557365245158,0,-0.9309245475558433,0.9309245475558433,1.8618490951116866,1,0,0,0
null,8,247,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,248,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,249,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,250,1,0.0,0,0.20788557365245175,0,-0.9971346849457419,0.9971346849457419,1.9942693698914837,1,0,0,0
null,8,251,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,252,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,253,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,254,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,255,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,256,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,257,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,258,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,259,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,260,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,261,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,262,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,263,1,0.0,0,0.2078855736524518,0,-0.9366725638481461,0.9366725638481461,1.8733451276962922,1,0,0,0
null,8,264,1,0.0,0,0.20788557365245164,0,-0.9562164711795881,0.9562164711795881,1.9124329423591762,1,0,0,0
null,8,265,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,266,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,267,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,268,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,269,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,270,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,271,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,272,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,273,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,274,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,275,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,276,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,277,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,278,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,279,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,280,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,281,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,282,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,283,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,284,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,285,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
