trial,method,budget,alpha,rank,theta1,theta2,true_delta,delta_hat,parameter_covered,point_sign_error,interval_type,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
0,d_opt,32,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,scalar_wald,0,0.36131630966005956,0.48448232085084175,0.12316601119078219,0,1,0,0
0,d_opt,32,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,shared_parameter_set,0,0.3197781913322504,0.5260204391786509,0.20624224784640055,1,1,0,0
0,d_opt,32,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,scalar_wald,0,0.34385838328241214,0.5019402472284892,0.15808186394607704,0,1,0,0
0,d_opt,32,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,shared_parameter_set,0,0.305276575115564,0.5405220553953374,0.23524548027977338,1,1,0,0
0,d_opt,32,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,scalar_wald,0,0.3287162357198231,0.5170823947910782,0.1883661590712551,0,1,0,0
0,d_opt,32,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,1,0,shared_parameter_set,0,0.27706402323610424,0.5687346072747971,0.29167058403869284,1,1,0,0
0,d_opt,32,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,1,0,scalar_wald,0,0.2991217672597016,0.5466768632511998,0.24755509599149822,1,1,0,0
0,c_opt,0,0.5,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,0,0,shared_parameter_set,0,-0.955151557273506,0.955151557273506,1.910303114547012,1,0,0,0
0,c_opt,0,0.5,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,0,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,0,0.2,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,0,0.2,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,0,0.1,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,0,0.1,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
