method,interval_type,budget,alpha,trials,parameter_coverage,delta_coverage,delta_coverage_wilson95_low,delta_coverage_wilson95_high,decision_coverage,decision_coverage_wilson95_low,decision_coverage_wilson95_high,claims,incorrect_claims,unconditional_incorrect_claim_rate,selective_risk,selective_risk_wilson95_low,selective_risk_wilson95_high,sign_errors,empty_sets,mean_interval_width_nonempty,point_ranking_error_rate
d_opt,scalar_wald,0,0.01,300,0.99,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
d_opt,shared_parameter_set,2,0.5,300,0.5133333333333333,0.7666666666666667,0.715618653578636,0.8109717617682728,0.5733333333333334,0.5167859400590311,0.6280264241613689,172,9,0.03,0.05232558139534884,0.027769758916001627,0.09644132854412861,5,0,0.3458146966350353,0.16
d_opt,scalar_wald,2,0.5,300,0.5133333333333333,0.5066666666666667,0.45036683073695566,0.5627979296467172,0.6733333333333333,0.6183622089237593,0.7239215610517313,202,15,0.05,0.07425742574257425,0.045514449672078995,0.11889100593719645,9,0,0.20144275914041668,0.16
d_opt,shared_parameter_set,2,0.2,300,0.79,0.9266666666666666,0.8914686583942826,0.9510760061607713,0.4066666666666667,0.3526017598634212,0.46309159476516065,122,2,0.006666666666666667,0.01639344262295082,0.004507246613595466,0.05780495871348255,1,0,0.5229564681546431,0.16
d_opt,scalar_wald,2,0.2,300,0.79,0.8066666666666666,0.7582162445043988,0.8473627331445462,0.55,0.4934256045239535,0.6053100983535921,165,7,0.023333333333333334,0.04242424242424243,0.020699850349129613,0.08497004225492186,4,0,0.38254347449361414,0.16
d_opt,shared_parameter_set,2,0.1,300,0.9166666666666666,0.9733333333333334,0.9482710570494102,0.9864269301913529,0.30333333333333334,0.2540711301237818,0.3575684385578729,91,2,0.006666666666666667,0.02197802197802198,0.006048006082981144,0.0766316460248494,1,0,0.6215418145262805,0.16
d_opt,scalar_wald,2,0.1,300,0.9166666666666666,0.9,0.8608335376153785,0.9290520854049847,0.4533333333333333,0.39794515245358275,0.509901524860708,136,4,0.013333333333333334,0.029411764705882353,0.011495862973155337,0.07318187795256928,2,0,0.4905889512377047,0.16
d_opt,shared_parameter_set,2,0.05,300,0.95,0.98,0.9570603791821394,0.9908023684422963,0.24333333333333335,0.19822154125071836,0.2949351839778819,73,2,0.006666666666666667,0.0273972602739726,0.007545758679607641,0.09450148171690531,1,0,0.7036882715676647,0.16
d_opt,scalar_wald,2,0.05,300,0.95,0.9566666666666667,0.9272825343659885,0.9745035519155927,0.36666666666666664,0.3141415065082282,0.4225632858183173,110,2,0.006666666666666667,0.01818181818181818,0.005000354875327899,0.06388016459381213,1,0,0.5840788534188089,0.16
d_opt,shared_parameter_set,2,0.01,300,0.9866666666666667,0.9933333333333333,0.9760224167496929,0.998169851642088,0.16333333333333333,0.1258064331944026,0.20937316743012502,49,0,0.0,0.0,6.938893903907228e-18,0.07269781922049637,0,0,0.8580249049283615,0.16
