task,policy_a,policy_b,count_a,count_b,n_each,difference,newcombe_low,newcombe_high,simultaneous_cp_low,simultaneous_cp_high,publicly_rerunnable_pair,opposite_published_means
google_robot_close_drawer,rt-1-15pct,octo-base,24,14,27,0.37037037037037035,0.12744619021694395,0.5632165735348829,-0.12343146327008836,0.7242858621267946,True,False
google_robot_close_drawer,rt-1-x,rt-1-begin,20,0,27,0.7407407407407407,0.5156182710910913,0.8682962543809281,0.2876851981973721,0.9209229320558872,True,False
google_robot_close_drawer,rt-1-x,octo-base,20,14,27,0.2222222222222222,-0.03362792729359987,0.4417459072473868,-0.29521667160184617,0.6573052691637103,True,False
google_robot_close_drawer,rt-1-begin,octo-base,0,14,27,-0.5185185185185185,-0.6925677302378153,-0.30072459146587305,-0.7666127120406367,-0.07990682065075833,True,False
google_robot_place_apple_in_closed_top_drawer,rt-2-x,rt-1-converged,2,5,27,-0.1111111111111111,-0.30062672689242775,0.0790629414852852,-0.4437378441434549,0.2659721682728227,False,False
google_robot_place_apple_in_closed_top_drawer,rt-2-x,rt-1-15pct,2,5,27,-0.1111111111111111,-0.30062672689242775,0.0790629414852852,-0.4437378441434549,0.2659721682728227,False,False
google_robot_place_apple_in_closed_top_drawer,rt-2-x,rt-1-x,2,11,27,-0.3333333333333333,-0.5262320114008346,-0.10572096444412199,-0.6687566218518783,0.1298930307327542,False,False
google_robot_place_apple_in_closed_top_drawer,rt-2-x,rt-1-begin,2,0,27,0.07407407407407407,-0.06149245480578783,0.23369592683023144,-0.1801622772261805,0.3064688317454526,False,False
google_robot_place_apple_in_closed_top_drawer,rt-2-x,octo-base,2,0,27,0.07407407407407407,-0.06149245480578783,0.23369592683023144,-0.1801622772261805,0.3064688317454526,False,False
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,rt-1-15pct,5,5,27,0.0,-0.20913841041296816,0.20913841041296816,-0.406789745686063,0.406789745686063,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,rt-1-x,5,11,27,-0.2222222222222222,-0.4344310959416805,0.021458090688945497,-0.6318085233944866,0.2707106081459945,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,rt-1-begin,5,0,27,0.18518518518518517,0.02331798703303975,0.36698683618548433,-0.1432141787687886,0.4472864091586929,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,octo-base,5,0,27,0.18518518518518517,0.02331798703303975,0.36698683618548433,-0.1432141787687886,0.4472864091586929,True,False
